fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc
odds_api_io_69688802,brazil-u20-brasileiro-serie-b,brazil-u20-brasileiro-serie-b,upcoming,2026-05-13,18:00,Goias EC GO,Chapecoense SC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62037486,poland-iii-liga-group-2,poland-iii-liga-group-2,upcoming,2026-05-13,15:00,Gzs Tluchovia Tluchowo,Lech II Poznan,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68311580,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-13,17:00,Hassleholms IF,Eskilsminne IF,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70674826,scotland-premiership,scotland-premiership,upcoming,2026-05-13,19:00,Heart of Midlothian FC,Falkirk FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_SC0_2026-05-13_Hearts_Falkirk,SC0,SC0,upcoming,2026-05-13,20:00,Hearts,Falkirk,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_67126086,sweden-superettan,sweden-superettan,upcoming,2026-05-13,17:00,Helsingborgs IF,IK Oddevold,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70730364,denmark-2nd-division,denmark-2nd-division,upcoming,2026-05-13,16:30,FC Helsingoer,BK Fremad Amager,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71325698,finland-suomen-cup,finland-suomen-cup,upcoming,2026-05-13,15:00,HIFK,JaPS,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70820626,iceland-cup,iceland-cup,upcoming,2026-05-13,19:15,HK Kopavogur,Vikingur Reykjavik,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71463060,senegal-ligue-1,senegal-ligue-1,upcoming,2026-05-13,17:00,Hlm,ASC Linguere,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70670028,croatia-croatian-cup,croatia-croatian-cup,upcoming,2026-05-13,16:00,HNK Rijeka,GNK Dinamo Zagreb,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71085530,czechia-1-liga,czechia-1-liga,upcoming,2026-05-13,15:30,FC Hradec Kralove,FC Slovan Liberec,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70820622,iceland-cup,iceland-cup,upcoming,2026-05-13,19:15,IA Akranes,UMF Grindavik,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71325692,finland-suomen-cup,finland-suomen-cup,upcoming,2026-05-13,15:30,IFK Mariehamn,Puistolan Urheilijat,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67126088,sweden-superettan,sweden-superettan,upcoming,2026-05-13,17:00,IFK Norrkoping FK,Nordic United FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67126098,sweden-superettan,sweden-superettan,upcoming,2026-05-13,17:00,IK Brage,Ostersunds FK,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68158776,argentina-copa-proyeccion-final-reserves,argentina-copa-proyeccion-final-reserves,upcoming,2026-05-13,18:00,Independiente Rivadavia de Mendoza Reserve,Colon de Santa Fe Reserve,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70812664,israel-premier-league,israel-premier-league,upcoming,2026-05-13,17:00,Ironi Tiberias,Maccabi Bney Reine,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70730368,denmark-2nd-division,denmark-2nd-division,upcoming,2026-05-13,17:00,Ishoej IF,Brabrand IF,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71296256,brazil-copa-do-brasil-women,brazil-copa-do-brasil-women,upcoming,2026-05-13,18:00,Itabirito FC MG,Ceara SC CE,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68310882,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-13,17:30,FC Jarfalla,Enkopings SK,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71218074,kazakhstan-kazakhstan-cup,kazakhstan-kazakhstan-cup,upcoming,2026-05-13,15:00,Kaisar Kyzylorda,Tobol Kostanay,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69090808,usa-usl-league-two,usa-usl-league-two,upcoming,2026-05-13,23:00,Kalamazoo FC,Union FC Macomb,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71257674,albania-kupa-e-shqiperise,albania-kupa-e-shqiperise,upcoming,2026-05-13,17:00,KF Egnatia Rrogozhine,FC Dinamo City,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71218678,faroe-islands-logmanssteypid,faroe-islands-logmanssteypid,upcoming,2026-05-13,17:30,KI Klaksvik,NSI Runavik,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62036256,poland-iii-liga-group-4,poland-iii-liga-group-4,upcoming,2026-05-13,15:00,Korona II Kielce SA,KS Wisloka Debica,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62215502,switzerland-erste-liga,switzerland-erste-liga,upcoming,2026-05-13,18:00,FC Kosova Zurich,FC Freienbach,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68311582,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-13,17:00,Kristianstad FC,FC Rosengaard 1917,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62038092,poland-iii-liga-group-1,poland-iii-liga-group-1,upcoming,2026-05-13,15:00,KS Ck Troszyn,Lechia Tomaszow Mazowiecki,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62036880,poland-iii-liga-group-3,poland-iii-liga-group-3,upcoming,2026-05-13,16:00,KS Polonia Nysa,KS Lechia Zielona Gora,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62038104,poland-iii-liga-group-1,poland-iii-liga-group-1,upcoming,2026-05-13,15:00,KS Warta Sieradz,Wisla Plock II,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69924658,finland-kolmonen,finland-kolmonen,upcoming,2026-05-13,15:30,Kultsu FC,Ips,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71325674,finland-suomen-cup,finland-suomen-cup,upcoming,2026-05-13,16:30,KuPS Akatemia,FC Honka,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68531856,international-clubs-afc-challenge-league,international-clubs-afc-challenge-league,upcoming,2026-05-13,16:45,Kuwait SC,Preah Khan Reach Svay Rieng FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68311584,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-13,17:00,Laholms FK,Lunds BK,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71019438,italy-coppa-italia,italy-coppa-italia,upcoming,2026-05-13,19:00,Lazio Rome,Inter Milano,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_62038096,poland-iii-liga-group-1,poland-iii-liga-group-1,upcoming,2026-05-13,15:00,Legia Warszawa II,GKS Wikielec,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_F1_2026-05-13_Lens_Paris_SG,ligue_1,F1,upcoming,2026-05-13,20:00,Lens,Paris SG,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_69920628,finland-kolmonen,finland-kolmonen,upcoming,2026-05-13,17:15,Leppavaaran Pallo,Nups,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_G1_2026-05-13_Levadeiakos_OFI_Crete,G1,G1,upcoming,2026-05-13,15:00,Levadeiakos,OFI Crete,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_70812662,israel-premier-league,israel-premier-league,upcoming,2026-05-13,17:00,Maccabi Netanya FC,Hapoel Haifa FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70812404,israel-premier-league,israel-premier-league,upcoming,2026-05-13,17:30,Maccabi Tel Aviv FC,Maccabi Haifa FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71462986,mali-ligue-1,mali-ligue-1,upcoming,2026-05-13,16:30,FC Mali Coura,Djoliba AC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_E0_2026-05-13_Man_City_Crystal_Palace,premier_league,E0,upcoming,2026-05-13,20:00,Man City,Crystal Palace,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_71403922,bahrain-2nd-division,bahrain-2nd-division,upcoming,2026-05-13,16:00,Manama Club,Etehad Alreef,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
2267379,premier_league,4328,2025-2026,2026-05-13,19:00:00,Manchester City,Crystal Palace,thesportsdb_eventsnextleague,2026-05-13T14:11:22.427827+00:00
